\s	$0
\x5E	ट्ट
\x5F	ट्ठ
\xf8	\u0970
\xd2\xd2	"
\xd2	'
\xd3\xd3	"	
\xd3	'
\xef	'
\xa4	'
\x55	'
$	
¤	
U	
¢ð	ð¢
´ð	ð´
ð¸	¸ð
Ò	
¥æò	ऑ
¸	फ़्
¸•	क़
¸¹	ख़
¸»	ग़
¸Á	ज़
¸Ç	ड़
¸É	ढ़
¸È	फ़
¸Ø	य़
¸Ú	ऱ
¸Ù	ऩ
A	्र
B	क्च
C	ष्ट
D	ष्ठ
E	श्व
F	स्न
G	त्र
H	॥
I	ढ्ढ
J	छ्व
K	्य
L	रु
M	रू
N	हृ
O	ह्र
P	क्क
Q	क्त
R	क्र
T	ञ्ज
V	ङ्क
W	ङ्ख
X	ङ्ग
Y	ङ्घ
\\x{0060}	क्व
a	ड्ड
b	ड्ढ
d	स्र
e	द्ग
f	द्घ
g	द्द
h	द्ध
i	द्ब
j	द्भ
k	द्म
l	द्य
m	द्व
n	ठ्ठ
p	श्च
q	ह्न
r	ह्म्
s	ह्य
t	ह्ल
u	ह्व
žæ	त्त
ž	त्त्
#	प्त
%	त्न
@	ञ्च
„	ल्ल
¦	ष्ट्व
¨	ङ्क्ष
¯	ख्न
µ	द्ब्र
º	ख्र
Cþ	ष्ट्र
q	ह्न
Ê	ज़्
u	ह्व
g	द्द
Ÿæ	श्र
Åþ	ट्र
Çþ	ड्र
Éþ	ढ्र
^	ट्ट
h	द्ध
Ð	।
ý	्र
þ	्र
¥ô	ओ
¥æð	ओ
¥õ	औ
¥æñ	औ
¥æ	आ
¥	अ
§Z	ईं
§ü	ई
§	इ
©	उ
ª	ऊ
«	ऋ
¬	ॠ
­	ऌ
°ð	ऐ
°	ए
€	क्
·	क
	ख्
¹	ख
‚	ग्
»	ग
ƒæ	घ
ƒ	घ्
¾	ङ
“	च्च्
‘	च्
¿	च
À	छ
”	ज्ज्
…	ज्
’	ज्
Á	ज
\x95	\u095B\u094D
\x95\xe6	\u095B
Ûæ	झ
Û	झ्
†æ	ञ
†	ञ्
Å	ट
Æ	ठ
Ç	ड
É	ढ
‡æ	ण
‡	ण्
ˆ	त्
Ì	त
‰	थ्
Í	थ
Î	द
¼	द
Š	ध्
Ï	ध
óæ	न्न
ó	न्न्
‹æ	न
Ù	न
‹	न्
Œ	प्
Â	प
	फ्
È	फ
Ž	ब्
Õ	ब
	भ्
Ö	भ
	म्
×	म
Ä	य्
Ø	य
Ú	र
Ë	ल्
Ü	ल
¶	ल
Ý	ळ
Ã	व्
ß	व
àæ	श
³æ	श
o	श
³	श्
à	श्
c	ष्
á	ष
S	स्
â	स
ã	ह
±	ह्
ÿæ	क्ष
ÿ	क्ष्
˜æ	त्र
˜	त्र्
™æ	ज्ञ
™	ज्ञ्
üð´	ðZ
æò	ॉ
æñ	ौ
æ	ा
è	ी
é	ु
ê	ू
ä	ु
å	ू
ë	ृ
ì	ॄ
í	ॢ
Ô	े
ñ	ै
ô	ो
õ	ौ
¢	ं
´	ं
¡	ँ
Ñ	:
¸	़
ò	ॅ
ù	ऽ
÷	्
ð	े
0	०
1	१
2	२
3	३
4	४
5	५
6	६
7	७
8	८
9	९
®	0
v	1
w	2
x	3
y	4
z	5
{	6
|	7
}	8
~	9
