ः	:
#	रु
%	ः
-	.	// placed above the & conversion below to prevent '&' -> '-' -> '.'
&	-	// hyphen
0	0	
1	1	
2	2	
3	3	
4	4	
5	5	
6	6	
7	7	
8	8	
9	9	
:	रू
<	ढ
@	/
A	।
B	ठ
Bî	ठ्य
C	ब्
D	क्
E	म्
F	थ्
G	ळ
H	भ्
I	प्
J	श्र
K	ज्ञ
L	स्
M	ड
Mª	ड्र
Mî	ड्य
N	छ
Nª	छ्र
Nî	छ्य
O	व्
OkQa	क़	
P	च्
Q	η	
R	त्
S	ै
T	ज्
U	न्
V	ट
Vª	ट्र
Vî	ट्य
W	ॅ
X	ग्
Y	ल्
Z	ρ	
ZZ	Z
\	?
\"	ष्
\,	ए
\,s	ऐ
\/	ध
\;	य
\<î	ढ्य
\>	झ
\>ª	ढ्र
\s	$0	
\xb6	"	
\xb8	"	
\x{0021}	!	
\x{0027}	श्	
\x{0028}	(	
\x{0029}	)	
\x{002A}	’
\x{002B}	़
\x{002E}	ण्
\x{003F}	घ्
\x{005B}	ख्
\x{005E}	‘
\x{005F}	;	
\x{0060}	ृ	
\x{007B}	क्ष्
\x{007C}	द्य
\x{007D}	द्व
\x{00AA}	Ρ
\x{00EA}	ट्ट	
\x{00EB}	ट्ठ	
\x{00EC}	ड्ड	
\«	त्र्
\ˆ	६
\‚	ॉ
\”	ज़्
\„	२
\‹	९
]	,
a	ं
b	इ
bZ	ई
b±	ईं
c	ब
d	क
e	म
f	ε	
g	ह
h	ी
i	प
iQ	फ
j	र
jQ	रु	
k	ा
kS	ौ
ks	ो
l	स
m	उ
mQ	ऊ
n	द
nzZ	र्द्र
o	व
oQ	क
p	च
q	ु
r	त
s	े
t	ज
u	न
v	अ
vkS	औ
vks	ओ
v‚	ऑ
w	ू
x	ग
xz	ग्र
y	ल
z	Ρ
~	्
¡	ँ
¢	े
£	εर्
¥	ञ
¨	ो
©	ौ
¯	εμ	
±	ρं	
³	ङ
µ	\x{2013}	// en-dash
·	ऽ
·	ऽ
º	ह्
ºz	ह्र
¼	द्ध
¼Z	र्द्ध
½	ऋ
¾	=
¿	{
À	}
Á	प्र
Ã	ई
Ä	घ
Å	ऊ
È	ीं
É	ह्न
Ë  	ध्
Ì	द्द
Í	ऋ
Î	ट्ठ
Ï	ड्ड
Ñ	कृ
Ò	भ
Ó	्य
Ô	ड्ढ
Ö	झ्
Ø	क्र
Ø	क्र
Ù	त्त्
Ù	त्त्
Ú	फ्र
Ü	श्
Ý	फ्
Þ	“
ß	”
à	ह्न
á	ह्य
â	हृ
ã	ह्म
ä	क्त
å	०
æ	द्र
ç	प्र
è	ध्
é	न्न
ê	ट्ट
ë	ट्ठ
ì	ड्ड
í	द्द
ï	ड्ढ
ñ	॰
ô	क्क
÷	झ्
č	ध्
Ľ	द्ध
Ń	कृ
Œ	॰
Ř	क्र
Š	८
Ů	त्त्
ƒ	१
ˇ	ँ
˝	ऋ
–	दृ
—	कृ
‘	"
’	"
“	'
”	'
†	४
‡	५
•	ऽ
…	३
‰	७
™	न्न्
∙	ऽ
