\s+	$0
\x40	\x{0B83}
\x41	\x{0B85}
\x42	\x{0B86}
\x43	\x{0B87}
\x44	\x{0B88}
\x45	\x{0B89}
\x46	\x{0B8A}
\x47	\x{0B8E}
\x48	\x{0B8F}
\x49	\x{0B90}
\x4A	\x{0B92}
\x4B	\x{0B93}
\x4C	\x{0B95}
\x4D	\x{0B99}
\x4E	\x{0B9A}	
\x4F	\x{0B9E}
\x50	\x{0B9F}
\x51	\x{0BA3}
\x52	\x{0BA4}
\x53	\x{0BA8}
\x54	\x{0BAA}
\x55	\x{0BAE}
\x56	\x{0BAF}
\x57	\x{0BB0}
\x58	\x{0BB2}
\x59	\x{0BB5}
\x5A	\x{0BB4}
\x5B	\x{0BB3}
\x5C	\x{0BB1}
\x5D	\x{0BA9}
\x5E	\x{0B9C}
\x61	\x{0BB9}
\x62	\x{0BB8}
\x63	\x{0BB7}
\x64	\x{0B9A}\x{0BB7}
\x65	\x{0B95}\x{0BCD}
\x66	\x{0B95}\x{0BBF}
\x67	\x{0B95}\x{0BC0}
