\s+	$0
\x22	'
\x23	ञ्च्
\x24	
\x26	।	
\x3c	₹
\x3e	
\x40	TODO
\x41	अ
\x42	इ
\x43	उ
\x44	ऊ
\x45	ए
\x46	ऋ not exact conversion but no equivalent in Unicode
\x47	ऋ
\x48	क
\x49	ख
\x4a	ग
\x4b	घ
\x4c	ङ
\x4d	च
\x4e	छ
\x4f	ज
\x50	झ
\x51	ट
\x52	ठ
\x53	ड
\x54	ढ
\x55	ण
\x56	त
\x57	थ
\x58	द
\x59	ध
\x5a	न	
\x5b	ε
\x5c	फ
\x5d	ेρμ
\x5e	भ
\x5f	म
\x60	य
\x61	र
\x62	ल
\x63	ल
\x64	व
\x65	श
\x66	ष
\x67	स
\x68	ह
\x69	ळ
\x6a	क्ष
\x6b	ज्ञ
\x6c	श्र
\x6d	ा
\x6e	प
\x6f	े
\x70	ε
\x71	εμ
\x72	ी
\x73	ी
\x74	ीं
\x75	ीρ
\x76	ीρंμ
\x77	ु
\x78	ु
\x79	ू
\x7a+	ू
\x7b	ε
\x7c	ें
\x7d	ेρ
\x7e	ब
\xa1	ै
\xa2	ैं
\xa3	ैρ
\xa4	ैρμ
\xa5	ृ
\xa6	ृ
\xa7	ं
\xa8	ं
\xa9	ρ
\xaa	ρμ
\xab	Ρ
\xac	ङ्क्ष
\xae	Ρु
\xaf	Ρू
\xb2	ερμ
\xb3	'
\xb4	'
\xb5	\x{2013}
\xb6	"
\xb7	*
\xb8	"
\xb9	[
\xba	]
\xbb	%
\xbc	द्ध
\xbd	ऋ
\xbe	=
\xbf	\x{093D}
\xc0	श्
\xc1	द्म
\xc2	न्न
\xc4	ङ
\xc5	ऊ
\xc6	लृ
\xc7	ल
\xc8	ह्ल
\xc9	ह्न
\xca	ह्ण
\xcb	त्र
\xcd	ऋ
\xcf	स्र
\xd0	स्त्र
\xd1	कृ
\xd2	्व
\xd3	्च
\xd4	्य
\xd5	य्
\xd6	झ्
\xd7	ञ्
\xd8	क्र
\xd9	त्त्
\xda	फ्र
\xdb	ञ्
\xdc	श्
\xdd	फ्
\xde	न्न
\xdf	ह्र
\xe0	ह्व
\xe1	ह्य
\xe2	हृ
\xe3	ह्म
\xe4	द्न
\xe5	द्ग
\xe6	द्र
\xe7	प्र
\xe8	ध्
\xe9	क्
\xea	ट
\xeb	ठ
\xec	ढ
\xed	द्द
\xee	ड
\xef	्क
\xf0	्ट
\xf1	॰
\xf2	्ठ
\xf3	्ड
\xf4	्ढ
\xf5	्ग
\xf6	६
\xf7	७
\xf8	८
\xf9	९
\xfa	०
\xfb	१
\xfc	२
\xfd	३
\xfe	४
\xff	५
